Item_ID__c,Building_Code__c,Internal_External__c,Level__c,Room_or_Area__c,Location_in_Room__c,Item_Name__c,If_Other_Item_Name__c,Friability_of_Material__c,ACM_Classification__c,ACM_Sub_Classification__c,NATA_Endorsed_Sample_no__c,Sample_Analysis_Result_Material_Status__c,Identifying_Hygiene_Consulting_Company__c,Condition__c,Disturbance_Potential_of_Material__c,Quantity__c,Labelled__c,Labelled_Details__c,Photo_Ref__c,Additional_Comments__c,Assumed_Removed__c
BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-13.0,VMO Accommodations,External,Ground Level,,Beneath window,Wall(s),,,,Flat sheeting,J169642-001-021,Negative,Greencap,,,,No,,,Rendered & painted cream,False
BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-14.0,VMO Accommodations,External,Ground Level,,On ground,Debris,,Non-friable,Cement products,Debris,J169642-001-020,Assumed Positive,Greencap,Poor,Low,1.0,No,,J169642-001-Photo065,"Loose. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-15.0,VMO Accommodations,External,Ground Level,Subfloor,,Debris,,Non-friable,Cement products,Cement product debris,J169642-001-020,Positive,Greencap,Poor,Low,1.0,No,,J169642-001-Photo063,"Loose. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-BLD-VMO-ACCOMMODATIONS-ITEM-16.0,VMO Accommodations,External,Ground Level,Throughout,,Eaves,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,40.0,No,,J169642-001-Photo062,"Painted white Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-18.0,Main Hospital Building,External,Ground Level,Adjacent Workshop,,Gable lining,,Non-friable,Cement products,Flat sheeting,J169642-001-018,Positive,Greencap,Fair,Low,1.0,No,,J169642-001-Photo054,"Painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-19.0,Main Hospital Building,External,Ground Level,Roof,On Roof,Ductwork,,Non-friable,"Gasket, friction products and adhesives",Mastic,Not Sampled,Assumed Positive,Greencap,Unknown,Low,15.0,No,,J169642-001-Photo057,"Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-20.0,Main Hospital Building,External,Ground Level,Porch,,Porch ceiling,,Non-friable,Cement products,Flat sheeting,35766/11,Positive,Greencap,Stable,Low,100.0,No,,"J169642-001-Photo059, J169642-001-Photo060","Painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-21.0,Main Hospital Building,External,Ground Level,,South,Window frame,,,,Mastic,J169642-001-016,Negative,Greencap,,,,No,,,,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-22.0,Main Hospital Building,External,Ground Level,Throughout,,Eaves,,Non-friable,Cement products,Flat sheeting,35766/11,Positive,Greencap,Stable,Low,300.0,No,,J169642-001-Photo058,"Painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-23.0,Main Hospital Building,External,Ground Level,North Courtyard,,Expansion joint,,Non-friable,"Gasket, friction products and adhesives",Mastic,J169642-001-015,Positive,Greencap,Stable,Low,1.0,No,,J169642-001-Photo039,"Grey. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
